month,Type_user,Purchase_status,users,txn,amount,revenue,AOV
2020-01,Current,Khác,797,797,36120000.0,925200.0,45319.94981179423
2020-01,Current,Mua hộ,118,118,14014234.0,386927.02,118764.69491525424
2020-01,New,Khác,79,79,2560000.0,67100.0,32405.063291139242
2020-01,New,Mua hộ,6,6,1120000.0,30600.0,186666.66666666666
2020-02,Current,Khác,758,760,34660000.0,891700.0,45605.26315789474
2020-02,Current,Mua hộ,120,121,14140000.0,391300.0,116859.5041322314
2020-02,New,Khác,84,84,3140000.0,78100.0,37380.95238095238
2020-02,New,Mua hộ,7,7,740000.0,17400.0,105714.28571428571
2020-03,Current,Khác,840,840,36050000.0,964800.0,42916.666666666664
2020-03,Current,Mua hộ,145,145,17660000.0,508100.0,121793.10344827586
2020-03,New,Khác,107,107,3740000.0,93600.0,34953.27102803739
2020-03,New,Mua hộ,6,6,750000.0,17500.0,125000.0
2020-04,Current,Khác,790,790,30720000.0,810600.0,38886.07594936709
2020-04,Current,Mua hộ,156,156,20210000.0,584900.0,129551.28205128205
2020-04,New,Khác,77,77,2320000.0,62800.0,30129.87012987013
2020-04,New,Mua hộ,4,4,900000.0,30000.0,225000.0
2020-05,Current,Khác,858,858,31640000.0,836100.0,36876.456876456876
2020-05,Current,Mua hộ,174,174,18670000.0,560500.0,107298.85057471265
2020-05,New,Khác,64,64,2120000.0,51000.0,33125.0
2020-05,New,Mua hộ,8,8,520000.0,16100.0,65000.0
2020-06,Current,Khác,888,890,36050000.0,963000.0,40505.61797752809
2020-06,Current,Mua hộ,166,166,18980000.0,569600.0,114337.34939759035
2020-06,New,Khác,54,54,2360000.0,62100.0,43703.7037037037
2020-06,New,Mua hộ,8,8,860000.0,22500.0,107500.0
2020-07,Current,Khác,908,912,37710000.0,980700.0,41348.68421052631
2020-07,Current,Mua hộ,169,169,17980000.0,528600.0,106390.5325443787
2020-07,New,Khác,66,66,2630000.0,58000.0,39848.48484848485
2020-07,New,Mua hộ,6,6,620000.0,14600.0,103333.33333333333
2020-08,Current,Khác,885,885,35400000.0,931800.0,40000.0
2020-08,Current,Mua hộ,184,184,22360000.0,633100.0,121521.73913043478
2020-08,New,Khác,78,78,1780000.0,43200.0,22820.51282051282
2020-08,New,Mua hộ,6,6,410000.0,10600.0,68333.33333333333
2020-09,Current,Khác,907,907,37510000.0,980400.0,41356.1190738699
2020-09,Current,Mua hộ,200,200,22850000.0,645900.0,114250.0
2020-09,New,Khác,78,78,2710000.0,63700.0,34743.58974358974
2020-09,New,Mua hộ,4,4,330000.0,12200.0,82500.0
2020-10,Current,Khác,914,916,34570000.0,929400.0,37740.17467248908
2020-10,Current,Mua hộ,216,216,24260000.0,688600.0,112314.81481481482
2020-10,New,Khác,68,68,2080000.0,54400.0,30588.235294117647
2020-10,New,Mua hộ,11,11,780000.0,18500.0,70909.09090909091
2020-11,Current,Khác,883,884,29620000.0,769100.0,33506.78733031674
2020-11,Current,Mua hộ,241,241,26670000.0,699900.0,110663.90041493776
2020-11,New,Khác,81,81,2100000.0,50700.0,25925.925925925927
2020-11,New,Mua hộ,9,9,880000.0,19600.0,97777.77777777778
2020-12,Current,Khác,920,921,31910000.0,852700.0,34647.1226927253
2020-12,Current,Mua hộ,238,257,26260000.0,706100.0,102178.98832684825
2020-12,New,Khác,64,64,1680000.0,41400.0,26250.0
2020-12,New,Mua hộ,12,13,1460000.0,38000.0,112307.69230769231
