user_id,Age,Gender,Location,cohort_year,First_tran_date,total_txn,total_amount,revenue,active_months,carrier_mode,AOV
21269588,>37,FEMALE,HN,2018,2018-12-11,1,10000.0,300.0,1,Mobifone,10000.0
28097592,>37,FEMALE,HN,2019,2019-12-30,1,20000.0,600.0,1,Mobifone,20000.0
47435144,18_to_22,FEMALE,HN,2019,2019-11-11,1,10000.0,200.0,1,Viettel,10000.0
29080935,18_to_22,FEMALE,HN,2019,2019-10-24,1,10000.0,300.0,1,Mobifone,10000.0
14591075,18_to_22,FEMALE,Other Cities,2019,2019-12-28,1,10000.0,200.0,1,Viettel,10000.0
43155015,18_to_22,FEMALE,HN,2019,2019-11-21,1,10000.0,200.0,1,Viettel,10000.0
50568745,23_to_27,FEMALE,Other Cities,2019,2019-11-07,1,10000.0,300.0,1,Mobifone,10000.0
38802645,23_to_27,FEMALE,Other Cities,2019,2019-12-29,1,20000.0,400.0,1,Viettel,20000.0
28698657,23_to_27,FEMALE,Other Cities,2016,2016-11-27,1,10000.0,400.0,1,Vietnamobile,10000.0
42557469,23_to_27,FEMALE,HN,2019,2019-04-20,1,50000.0,1000.0,1,Viettel,50000.0
45179287,23_to_27,FEMALE,Other Cities,2019,2019-01-24,1,30000.0,600.0,1,Viettel,30000.0
49801960,23_to_27,FEMALE,Other Cities,2019,2019-12-18,1,10000.0,400.0,1,Vinaphone,10000.0
48442020,23_to_27,FEMALE,HN,2019,2019-08-01,1,50000.0,2000.0,1,Vinaphone,50000.0
36845154,23_to_27,FEMALE,Other Cities,2019,2019-04-28,1,50000.0,1000.0,1,Viettel,50000.0
42275799,28_to_32,FEMALE,HN,2019,2019-10-18,1,50000.0,1500.0,1,Mobifone,50000.0
36313144,28_to_32,FEMALE,HCMC,2018,2018-04-18,1,30000.0,1200.0,1,Vinaphone,30000.0
50912625,28_to_32,FEMALE,HCMC,2019,2019-11-21,1,30000.0,900.0,1,Mobifone,30000.0
15602866,28_to_32,FEMALE,HCMC,2019,2019-11-09,1,50000.0,1500.0,1,Mobifone,50000.0
20016834,>37,MALE,HCMC,2018,2018-05-23,1,50000.0,1500.0,1,Mobifone,50000.0
35501803,>37,FEMALE,HCMC,2019,2019-07-03,1,100000.0,3000.0,1,Mobifone,100000.0
31031180,23_to_27,MALE,Other Cities,2019,2019-05-30,1,50000.0,1500.0,1,Mobifone,50000.0
29638368,23_to_27,FEMALE,Other Cities,2019,2019-03-06,1,100000.0,2000.0,1,Viettel,100000.0
26273764,33_to_37,FEMALE,HCMC,2019,2019-10-29,1,200000.0,8000.0,1,Vinaphone,200000.0
32556798,28_to_32,MALE,HCMC,2017,2017-05-11,1,100000.0,3000.0,1,Mobifone,100000.0
41450353,unknown,MALE,Other Cities,2018,2018-03-30,1,100000.0,2000.0,1,Viettel,100000.0
41427375,23_to_27,FEMALE,HCMC,2018,2018-04-04,1,200000.0,4000.0,1,Viettel,200000.0
20770193,28_to_32,MALE,Other Cities,2018,2018-02-01,1,500000.0,15000.0,1,Mobifone,500000.0
38568294,23_to_27,FEMALE,HN,2018,2018-10-30,1,10000.0,300.0,1,Mobifone,10000.0
42823224,23_to_27,FEMALE,HN,2018,2018-09-25,1,10000.0,300.0,1,Mobifone,10000.0
14918070,>37,FEMALE,HN,2019,2019-03-19,1,10000.0,200.0,1,Viettel,10000.0
50111941,18_to_22,FEMALE,HCMC,2019,2019-11-01,1,20000.0,400.0,1,Viettel,20000.0
45570169,23_to_27,FEMALE,HN,2019,2019-02-22,1,20000.0,400.0,1,Viettel,20000.0
17342870,23_to_27,FEMALE,HN,2020,2020-01-02,1,50000.0,1000.0,1,Viettel,50000.0
44903164,23_to_27,FEMALE,HN,2019,2019-01-15,1,20000.0,400.0,1,Viettel,20000.0
46643618,28_to_32,FEMALE,HN,2019,2019-04-10,1,10000.0,200.0,1,Viettel,10000.0
45314265,28_to_32,FEMALE,HCMC,2019,2019-01-30,1,50000.0,1000.0,1,Viettel,50000.0
40286438,28_to_32,FEMALE,HCMC,2018,2018-02-27,1,50000.0,1000.0,1,Viettel,50000.0
37356945,28_to_32,FEMALE,HN,2017,2017-02-28,1,50000.0,2000.0,1,Vinaphone,50000.0
39557508,23_to_27,FEMALE,Other Cities,2019,2019-12-13,1,30000.0,900.0,1,Mobifone,30000.0
6483747,33_to_37,FEMALE,HN,2019,2019-03-11,1,30000.0,600.0,1,Viettel,30000.0
40234431,33_to_37,FEMALE,HCMC,2017,2017-12-26,1,30000.0,900.0,1,Mobifone,30000.0
34589794,33_to_37,FEMALE,HN,2017,2017-07-23,1,20000.0,400.0,1,Viettel,20000.0
49639792,33_to_37,FEMALE,HN,2019,2019-10-15,1,50000.0,1000.0,1,Viettel,50000.0
27252617,33_to_37,MALE,Other Cities,2019,2019-08-28,1,100000.0,2000.0,1,Viettel,100000.0
28327930,33_to_37,MALE,HCMC,2017,2017-05-05,1,100000.0,4000.0,1,Vinaphone,100000.0
51720976,33_to_37,FEMALE,HCMC,2020,2020-01-01,1,200000.0,6000.0,1,Mobifone,200000.0
14751825,18_to_22,MALE,HCMC,2019,2019-01-28,1,100000.0,2000.0,1,Viettel,100000.0
42664618,23_to_27,MALE,HCMC,2019,2019-10-26,1,100000.0,2000.0,1,Viettel,100000.0
42645002,23_to_27,FEMALE,Other Cities,2019,2019-06-13,1,100000.0,2000.0,1,Viettel,100000.0
48104068,unknown,FEMALE,HCMC,2019,2019-09-14,1,20000.0,600.0,1,Mobifone,20000.0
37319421,unknown,FEMALE,HN,2019,2019-06-14,1,20000.0,800.0,1,Vinaphone,20000.0
39040327,unknown,FEMALE,Other Cities,2019,2019-05-20,2,30000.0,700.0,2,Mobifone,15000.0
51461883,unknown,FEMALE,HCMC,2019,2019-12-08,1,10000.0,200.0,1,Viettel,10000.0
51892918,unknown,MALE,Other Cities,2019,2019-12-24,1,50000.0,1500.0,1,Mobifone,50000.0
33127817,23_to_27,FEMALE,HCMC,2019,2019-08-04,1,200000.0,6000.0,1,Mobifone,200000.0
39667677,23_to_27,FEMALE,HN,2018,2018-10-18,1,10000.0,400.0,1,Vietnamobile,10000.0
23456872,>37,FEMALE,HN,2018,2018-03-07,1,50000.0,1000.0,1,Viettel,50000.0
40691982,>37,FEMALE,HCMC,2018,2018-06-14,1,10000.0,300.0,1,Mobifone,10000.0
48306901,18_to_22,FEMALE,HCMC,2019,2019-08-16,1,10000.0,200.0,1,Viettel,10000.0
43954633,18_to_22,FEMALE,Other Cities,2018,2018-10-26,1,10000.0,200.0,1,Viettel,10000.0
50295353,18_to_22,FEMALE,HN,2019,2019-10-28,1,10000.0,200.0,1,Viettel,10000.0
40567484,18_to_22,FEMALE,HN,2019,2019-07-07,1,10000.0,200.0,1,Viettel,10000.0
18625241,18_to_22,FEMALE,HCMC,2019,2019-04-19,1,50000.0,1500.0,1,Mobifone,50000.0
22151570,18_to_22,FEMALE,HN,2018,2018-12-22,1,50000.0,2000.0,1,Vietnamobile,50000.0
41333369,18_to_22,FEMALE,HN,2018,2018-03-17,1,20000.0,400.0,1,Viettel,20000.0
48283680,23_to_27,FEMALE,HCMC,2019,2019-08-30,1,10000.0,200.0,1,Viettel,10000.0
49929654,23_to_27,FEMALE,HN,2019,2019-11-16,1,50000.0,1500.0,1,Mobifone,50000.0
36034244,23_to_27,FEMALE,HN,2018,2018-09-23,1,50000.0,1000.0,1,Viettel,50000.0
45636789,28_to_32,FEMALE,HN,2019,2019-02-11,1,20000.0,400.0,1,Viettel,20000.0
46589604,28_to_32,MALE,HCMC,2019,2019-04-02,1,10000.0,300.0,1,Mobifone,10000.0
34086017,28_to_32,MALE,HN,2018,2018-11-27,1,50000.0,1500.0,1,Mobifone,50000.0
45824431,28_to_32,MALE,HCMC,2019,2019-05-29,1,30000.0,900.0,1,Mobifone,30000.0
38991899,23_to_27,MALE,HCMC,2017,2017-11-30,1,20000.0,600.0,1,Mobifone,20000.0
10404620,33_to_37,MALE,HN,2019,2019-02-28,1,20000.0,800.0,1,Vinaphone,20000.0
46939212,33_to_37,MALE,Other Cities,2019,2019-05-07,1,50000.0,1500.0,1,Mobifone,50000.0
46641209,23_to_27,MALE,HCMC,2019,2019-04-12,1,100000.0,4000.0,1,Vinaphone,100000.0
433921,28_to_32,MALE,Other Cities,2018,2018-06-29,1,100000.0,3000.0,1,Mobifone,100000.0
52266202,unknown,FEMALE,HN,2020,2020-01-02,1,20000.0,800.0,1,Vinaphone,20000.0
49293495,unknown,FEMALE,HN,2019,2019-09-13,1,20000.0,600.0,1,Mobifone,20000.0
46293493,unknown,FEMALE,HN,2019,2019-04-01,1,50000.0,1000.0,1,Viettel,50000.0
50895820,unknown,FEMALE,HN,2020,2020-01-02,1,20000.0,400.0,1,Viettel,20000.0
24556679,unknown,MALE,Other Cities,2019,2019-06-14,1,50000.0,1500.0,1,Mobifone,50000.0
39668530,unknown,MALE,Other Cities,2017,2017-10-01,1,100000.0,2000.0,1,Viettel,100000.0
48869217,23_to_27,MALE,Other Cities,2019,2019-09-03,1,200000.0,4000.0,1,Viettel,200000.0
7343035,unknown,FEMALE,Other Cities,2018,2018-08-28,1,200000.0,4000.0,1,Viettel,200000.0
35772529,28_to_32,FEMALE,HN,2016,2016-07-28,1,10000.0,400.0,1,Vinaphone,10000.0
3895427,>37,MALE,HCMC,2019,2019-04-26,1,50000.0,1000.0,1,Viettel,50000.0
18282018,>37,MALE,HCMC,2019,2019-01-23,1,50000.0,2000.0,1,Vinaphone,50000.0
44304188,18_to_22,MALE,HN,2019,2019-07-04,1,10000.0,200.0,1,Viettel,10000.0
24735866,18_to_22,FEMALE,HCMC,2018,2018-11-27,1,10000.0,200.0,1,Viettel,10000.0
41736980,18_to_22,MALE,Other Cities,2019,2019-02-01,1,10000.0,400.0,1,Vinaphone,10000.0
47642075,18_to_22,FEMALE,HCMC,2019,2019-06-14,2,40000.0,800.0,2,Viettel,20000.0
38743740,18_to_22,MALE,HCMC,2019,2019-07-21,1,10000.0,400.0,1,Vinaphone,10000.0
41574257,23_to_27,FEMALE,Other Cities,2018,2018-04-30,1,50000.0,1000.0,1,Viettel,50000.0
27122138,23_to_27,MALE,HCMC,2017,2017-08-01,1,50000.0,2000.0,1,Vinaphone,50000.0
43161561,23_to_27,FEMALE,Other Cities,2018,2018-12-28,1,10000.0,200.0,1,Viettel,10000.0
43351514,23_to_27,MALE,HN,2019,2019-02-18,1,50000.0,1000.0,1,Viettel,50000.0
33138809,23_to_27,FEMALE,HCMC,2019,2019-09-13,1,10000.0,300.0,1,Mobifone,10000.0
16695119,23_to_27,MALE,Other Cities,2019,2019-09-27,1,50000.0,1000.0,1,Viettel,50000.0
43098253,28_to_32,MALE,Other Cities,2018,2018-08-30,1,20000.0,400.0,1,Viettel,20000.0
44112085,23_to_27,MALE,HCMC,2018,2018-11-09,1,20000.0,600.0,1,Mobifone,20000.0
42079797,33_to_37,MALE,Other Cities,2019,2019-11-16,1,10000.0,200.0,1,Viettel,10000.0
48752944,23_to_27,MALE,Other Cities,2019,2019-12-13,1,100000.0,3000.0,1,Mobifone,100000.0
46694833,23_to_27,MALE,Other Cities,2019,2019-05-16,1,100000.0,3000.0,1,Mobifone,100000.0
42491494,28_to_32,MALE,HCMC,2019,2019-05-02,1,100000.0,2000.0,1,Viettel,100000.0
50801991,unknown,FEMALE,HN,2019,2019-11-26,1,50000.0,1000.0,1,Viettel,50000.0
47088232,unknown,MALE,HN,2019,2019-05-07,1,30000.0,600.0,1,Viettel,30000.0
45374761,unknown,MALE,HN,2019,2019-05-20,1,20000.0,400.0,1,Viettel,20000.0
42611490,unknown,MALE,HCMC,2018,2018-07-19,1,20000.0,800.0,1,Vinaphone,20000.0
48468004,unknown,MALE,HCMC,2019,2019-08-02,1,50000.0,2000.0,1,Vietnamobile,50000.0
41804908,unknown,MALE,Other Cities,2018,2018-05-07,1,100000.0,4000.0,1,Vinaphone,100000.0
17930178,18_to_22,FEMALE,HCMC,2019,2019-06-12,1,10000.0,400.0,1,Vinaphone,10000.0
36741853,28_to_32,FEMALE,Other Cities,2016,2016-12-06,1,10000.0,300.0,1,Mobifone,10000.0
50724201,>37,MALE,Other Cities,2019,2019-11-12,1,20000.0,800.0,1,Vinaphone,20000.0
32514604,>37,FEMALE,HCMC,2019,2019-11-21,1,100000.0,4000.0,1,Vinaphone,100000.0
42449093,18_to_22,FEMALE,HN,2020,2020-01-05,1,20000.0,400.0,1,Viettel,20000.0
40297145,23_to_27,MALE,HCMC,2017,2017-11-18,1,50000.0,1000.0,1,Viettel,50000.0
48642148,23_to_27,FEMALE,Other Cities,2019,2019-08-21,1,20000.0,400.0,1,Viettel,20000.0
50164589,23_to_27,MALE,Other Cities,2019,2019-10-24,1,20000.0,400.0,1,Viettel,20000.0
46786668,23_to_27,FEMALE,HCMC,2019,2019-04-16,1,50000.0,1000.0,1,Viettel,50000.0
46938024,23_to_27,MALE,HCMC,2019,2019-11-05,1,10000.0,300.0,1,Mobifone,10000.0
5609637,23_to_27,FEMALE,Other Cities,2016,2016-01-01,1,30000.0,1200.0,1,Vinaphone,30000.0
24996915,28_to_32,FEMALE,Other Cities,2017,2017-10-31,1,50000.0,2000.0,1,Vinaphone,50000.0
52341496,28_to_32,FEMALE,Other Cities,2020,2020-01-05,1,100000.0,2000.0,1,Viettel,100000.0
39793072,28_to_32,FEMALE,HCMC,2017,2017-08-30,1,20000.0,600.0,1,Mobifone,20000.0
50536653,28_to_32,FEMALE,Other Cities,2019,2019-11-15,1,50000.0,1000.0,1,Viettel,50000.0
44224725,28_to_32,MALE,Other Cities,2018,2018-11-25,1,100000.0,2000.0,1,Viettel,100000.0
39643372,28_to_32,MALE,Other Cities,2019,2019-06-29,1,50000.0,1500.0,1,Mobifone,50000.0
41037361,28_to_32,FEMALE,Other Cities,2018,2018-02-10,1,20000.0,800.0,1,Vietnamobile,20000.0
28192570,33_to_37,MALE,Other Cities,2020,2020-01-03,1,20000.0,600.0,1,Mobifone,20000.0
1020897,33_to_37,MALE,HCMC,2019,2019-08-16,1,50000.0,1000.0,1,Viettel,50000.0
38441824,33_to_37,FEMALE,HN,2018,2018-05-17,1,20000.0,600.0,1,Mobifone,20000.0
40674684,unknown,MALE,HN,2017,2017-12-28,1,20000.0,400.0,1,Viettel,20000.0
50037817,unknown,FEMALE,HCMC,2019,2019-10-21,1,20000.0,800.0,1,Vietnamobile,20000.0
52146440,unknown,FEMALE,Other Cities,2019,2019-12-29,1,20000.0,400.0,1,Viettel,20000.0
48918278,unknown,FEMALE,Other Cities,2019,2019-09-23,1,20000.0,400.0,1,Viettel,20000.0
40393105,28_to_32,FEMALE,HCMC,2018,2018-03-26,1,10000.0,400.0,1,Vietnamobile,10000.0
43667830,>37,FEMALE,HCMC,2018,2018-10-11,1,10000.0,300.0,1,Mobifone,10000.0
41744238,18_to_22,MALE,Other Cities,2018,2018-12-16,1,10000.0,300.0,1,Mobifone,10000.0
41737461,18_to_22,MALE,Other Cities,2019,2019-03-07,1,100000.0,3000.0,1,Mobifone,100000.0
46148297,18_to_22,MALE,HN,2019,2019-03-02,1,100000.0,4000.0,1,Vinaphone,100000.0
44092973,18_to_22,FEMALE,Other Cities,2018,2018-11-03,1,10000.0,400.0,1,Vinaphone,10000.0
40754110,18_to_22,FEMALE,HCMC,2019,2019-11-08,1,50000.0,1000.0,1,Viettel,50000.0
34925312,23_to_27,MALE,Other Cities,2018,2018-04-12,1,50000.0,1500.0,1,Mobifone,50000.0
52307145,23_to_27,MALE,Other Cities,2020,2020-01-04,1,50000.0,1000.0,1,Viettel,50000.0
41213868,23_to_27,MALE,Other Cities,2019,2019-12-23,1,50000.0,1000.0,1,Viettel,50000.0
40914676,23_to_27,FEMALE,HCMC,2019,2019-10-13,1,50000.0,1000.0,1,Viettel,50000.0
15431947,23_to_27,FEMALE,HCMC,2016,2016-12-16,1,20000.0,400.0,1,Viettel,20000.0
41662105,28_to_32,MALE,Other Cities,2018,2018-04-21,1,10000.0,200.0,1,Viettel,10000.0
52286524,28_to_32,FEMALE,HCMC,2020,2020-01-03,1,20000.0,800.0,1,Vinaphone,20000.0
44277149,28_to_32,MALE,HCMC,2019,2019-12-21,1,50000.0,1500.0,1,Mobifone,50000.0
47612546,28_to_32,MALE,Other Cities,2019,2019-06-14,1,10000.0,200.0,1,Viettel,10000.0
