month,Merchant_name,users,txn,amount,revenue
2020-01,Gmobile,0,0,0.0,0.0
2020-01,Mobifone,282,282,15214234.0,456427.02
2020-01,Vietnamobile,42,42,1140000.0,45600.0
2020-01,Viettel,513,513,29530000.0,590600.0
2020-01,Vinaphone,163,163,7930000.0,317200.0
2020-02,Gmobile,1,1,50000.0,2000.0
2020-02,Mobifone,278,280,13570000.0,407100.0
2020-02,Vietnamobile,30,30,760000.0,30400.0
2020-02,Viettel,480,480,29650000.0,593000.0
2020-02,Vinaphone,181,181,8650000.0,346000.0
2020-03,Gmobile,0,0,0.0,0.0
2020-03,Mobifone,320,320,17120000.0,513600.0
2020-03,Vietnamobile,54,54,1530000.0,61200.0
2020-03,Viettel,536,536,28640000.0,572800.0
2020-03,Vinaphone,188,188,10910000.0,436400.0
2020-04,Gmobile,0,0,0.0,0.0
2020-04,Mobifone,285,285,14150000.0,424500.0
2020-04,Vietnamobile,40,40,1170000.0,46800.0
2020-04,Viettel,505,505,26810000.0,536200.0
2020-04,Vinaphone,197,197,12020000.0,480800.0
2020-05,Gmobile,0,0,0.0,0.0
2020-05,Mobifone,305,305,15450000.0,463500.0
2020-05,Vietnamobile,65,65,1980000.0,79200.0
2020-05,Viettel,530,530,24990000.0,499800.0
2020-05,Vinaphone,204,204,10530000.0,421200.0
2020-06,Gmobile,0,0,0.0,0.0
2020-06,Mobifone,323,324,17780000.0,533400.0
2020-06,Vietnamobile,53,53,1550000.0,62000.0
2020-06,Viettel,542,543,26750000.0,535000.0
2020-06,Vinaphone,198,198,12170000.0,486800.0
2020-07,Gmobile,0,0,0.0,0.0
2020-07,Mobifone,310,312,15290000.0,458700.0
2020-07,Vietnamobile,48,48,1890000.0,75600.0
2020-07,Viettel,594,594,31140000.0,622800.0
2020-07,Vinaphone,198,199,10620000.0,424800.0
2020-08,Gmobile,1,1,20000.0,800.0
2020-08,Mobifone,308,308,15490000.0,464700.0
2020-08,Vietnamobile,53,53,2660000.0,106400.0
2020-08,Viettel,607,607,31220000.0,624400.0
2020-08,Vinaphone,184,184,10560000.0,422400.0
2020-09,Gmobile,1,1,10000.0,400.0
2020-09,Mobifone,324,324,17360000.0,520800.0
2020-09,Vietnamobile,56,56,1840000.0,73600.0
2020-09,Viettel,597,597,33010000.0,660200.0
2020-09,Vinaphone,211,211,11180000.0,447200.0
2020-10,Gmobile,0,0,0.0,0.0
2020-10,Mobifone,321,322,17930000.0,537900.0
2020-10,Vietnamobile,44,44,1770000.0,70800.0
2020-10,Viettel,622,622,29870000.0,597400.0
2020-10,Vinaphone,223,223,12120000.0,484800.0
2020-11,Gmobile,0,0,0.0,0.0
2020-11,Mobifone,352,352,15310000.0,459300.0
2020-11,Vietnamobile,56,56,2160000.0,86400.0
2020-11,Viettel,625,626,33920000.0,678400.0
2020-11,Vinaphone,181,181,7880000.0,315200.0
2020-12,Gmobile,0,0,0.0,0.0
2020-12,Mobifone,362,369,17240000.0,517200.0
2020-12,Vietnamobile,70,70,3230000.0,129200.0
2020-12,Viettel,623,624,32090000.0,641800.0
2020-12,Vinaphone,191,192,8750000.0,350000.0
