user_id,First_tran_date,Location,Age,Gender
945193,2016-01-01,Other Cities,33_to_37,FEMALE
33658530,2016-01-01,HCMC,>37,FEMALE
32703524,2016-01-01,Other Cities,28_to_32,MALE
5609637,2016-01-01,Other Cities,23_to_27,FEMALE
32949672,2016-01-01,HCMC,>37,FEMALE
26898258,2016-01-01,Other Cities,>37,MALE
33918446,2016-01-01,Other Cities,23_to_27,MALE
11362076,2016-01-01,Other Cities,33_to_37,MALE
33648392,2016-01-02,HCMC,33_to_37,MALE
33237352,2016-01-02,HN,33_to_37,MALE
34197969,2016-01-03,Other Cities,33_to_37,MALE
26104670,2016-01-03,HCMC,28_to_32,MALE
33509733,2016-01-03,HCMC,28_to_32,MALE
21782975,2016-01-04,Other Cities,unknown,MALE
34007446,2016-01-04,Other Cities,28_to_32,MALE
32832970,2016-01-05,Other Cities,33_to_37,MALE
34006698,2016-01-05,HCMC,28_to_32,MALE
32217249,2016-01-05,Other Cities,28_to_32,FEMALE
30522416,2016-01-07,Other Cities,28_to_32,FEMALE
33974589,2016-01-09,HCMC,>37,MALE
26261833,2016-01-10,HCMC,>37,FEMALE
14295890,2016-01-11,HCMC,28_to_32,MALE
21544473,2016-01-11,Other Cities,unknown,MALE
26845132,2016-01-11,HCMC,28_to_32,FEMALE
2663596,2016-01-12,Other Cities,33_to_37,FEMALE
34259712,2016-01-15,HN,28_to_32,MALE
32633551,2016-01-16,HCMC,33_to_37,MALE
27213122,2016-01-17,HCMC,33_to_37,MALE
21859704,2016-01-19,HN,>37,FEMALE
30044403,2016-01-20,Other Cities,33_to_37,MALE
34104156,2016-01-28,Other Cities,28_to_32,MALE
27163182,2016-02-01,Other Cities,23_to_27,FEMALE
32141657,2016-02-01,HCMC,28_to_32,FEMALE
35000749,2016-02-08,Other Cities,28_to_32,MALE
34997387,2016-02-08,Other Cities,23_to_27,MALE
35005029,2016-02-08,HCMC,23_to_27,FEMALE
35011313,2016-02-08,HCMC,23_to_27,MALE
5815125,2016-02-08,HCMC,33_to_37,FEMALE
35014162,2016-02-08,HCMC,23_to_27,MALE
17242722,2016-02-08,HCMC,28_to_32,FEMALE
35005018,2016-02-08,Other Cities,23_to_27,MALE
35001628,2016-02-08,Other Cities,33_to_37,FEMALE
33127090,2016-02-08,HN,28_to_32,FEMALE
390019,2016-02-09,HCMC,>37,FEMALE
13491562,2016-02-09,HCMC,>37,MALE
35031382,2016-02-09,HCMC,28_to_32,MALE
35039551,2016-02-10,Other Cities,23_to_27,MALE
32183758,2016-02-11,HCMC,23_to_27,FEMALE
7449319,2016-02-13,HCMC,>37,MALE
6410078,2016-02-13,HCMC,28_to_32,FEMALE
35056916,2016-02-14,Other Cities,28_to_32,MALE
1638572,2016-02-14,HCMC,33_to_37,FEMALE
29011934,2016-02-14,HCMC,33_to_37,MALE
274427,2016-02-14,Other Cities,28_to_32,MALE
18474376,2016-02-14,HCMC,28_to_32,MALE
34997381,2016-02-14,HCMC,23_to_27,MALE
17127715,2016-02-15,HCMC,unknown,MALE
34481675,2016-02-16,HCMC,33_to_37,MALE
25701401,2016-02-21,Other Cities,28_to_32,MALE
35111466,2016-02-27,HCMC,>37,FEMALE
34216647,2016-02-28,Other Cities,33_to_37,FEMALE
35105306,2016-02-28,HCMC,>37,MALE
35021151,2016-03-02,HCMC,28_to_32,FEMALE
32839633,2016-03-06,Other Cities,28_to_32,MALE
35166017,2016-03-16,HCMC,28_to_32,FEMALE
14357946,2016-03-24,HCMC,28_to_32,MALE
35164635,2016-03-25,HCMC,23_to_27,MALE
25655232,2016-03-29,Other Cities,28_to_32,MALE
35198846,2016-03-31,HN,unknown,MALE
24488978,2016-04-21,Other Cities,unknown,MALE
29188883,2016-04-26,HCMC,>37,FEMALE
35317577,2016-04-30,Other Cities,28_to_32,MALE
5224747,2016-05-20,Other Cities,28_to_32,MALE
726168,2016-05-20,HCMC,33_to_37,MALE
34189741,2016-05-27,Other Cities,33_to_37,FEMALE
35472671,2016-06-04,HCMC,23_to_27,MALE
13774106,2016-06-07,HCMC,23_to_27,MALE
33713578,2016-06-07,Other Cities,33_to_37,MALE
35473692,2016-06-08,HN,23_to_27,MALE
34416905,2016-06-10,Other Cities,18_to_22,MALE
35509200,2016-06-10,Other Cities,33_to_37,MALE
33941085,2016-06-10,Other Cities,23_to_27,MALE
449447,2016-06-12,HCMC,28_to_32,MALE
35510174,2016-06-12,Other Cities,23_to_27,MALE
28228939,2016-06-16,Other Cities,28_to_32,MALE
35539517,2016-06-17,HCMC,33_to_37,MALE
35577527,2016-06-20,HCMC,28_to_32,MALE
33721333,2016-06-22,Other Cities,28_to_32,MALE
35598085,2016-06-25,HCMC,33_to_37,MALE
35606389,2016-06-27,HCMC,28_to_32,FEMALE
35363481,2016-06-30,HCMC,>37,FEMALE
35527687,2016-07-04,HCMC,>37,MALE
29862147,2016-07-05,HCMC,28_to_32,FEMALE
35520127,2016-07-06,HCMC,23_to_27,FEMALE
35674045,2016-07-09,HCMC,33_to_37,MALE
4267519,2016-07-09,Other Cities,>37,MALE
35675830,2016-07-09,Other Cities,23_to_27,FEMALE
35690620,2016-07-13,HCMC,23_to_27,FEMALE
14077294,2016-07-15,HCMC,>37,MALE
35650752,2016-07-15,Other Cities,unknown,MALE
35725821,2016-07-19,Other Cities,>37,FEMALE
35505287,2016-07-20,Other Cities,23_to_27,FEMALE
35755339,2016-07-25,HN,unknown,FEMALE
35763890,2016-07-26,HCMC,23_to_27,FEMALE
35788159,2016-07-27,HN,28_to_32,MALE
35781878,2016-07-27,Other Cities,33_to_37,FEMALE
32175758,2016-07-27,HN,28_to_32,FEMALE
34069569,2016-07-27,Other Cities,33_to_37,FEMALE
33861540,2016-07-27,Other Cities,33_to_37,MALE
26785484,2016-07-27,HCMC,28_to_32,MALE
23840277,2016-07-28,Other Cities,unknown,FEMALE
35796308,2016-07-28,Other Cities,28_to_32,FEMALE
35309435,2016-07-28,HCMC,28_to_32,MALE
35772529,2016-07-28,HN,28_to_32,FEMALE
35800365,2016-07-28,Other Cities,33_to_37,MALE
35805409,2016-07-29,HCMC,23_to_27,MALE
2506375,2016-07-29,HCMC,28_to_32,MALE
