month,Type_user,Location,Age,Gender,users,txn,revenue
2020-01,Current,HCMC,18_to_22,FEMALE,18,18,1040000.0
2020-01,Current,HCMC,18_to_22,MALE,17,17,1460000.0
2020-01,Current,HCMC,23_to_27,FEMALE,43,43,5850000.0
2020-01,Current,HCMC,23_to_27,MALE,50,50,5620000.0
2020-01,Current,HCMC,28_to_32,FEMALE,36,36,4570000.0
2020-01,Current,HCMC,28_to_32,MALE,41,41,7170000.0
2020-01,Current,HCMC,33_to_37,FEMALE,19,19,4622702.0
2020-01,Current,HCMC,33_to_37,MALE,28,28,6250000.0
2020-01,Current,HCMC,>37,FEMALE,14,14,3670000.0
2020-01,Current,HCMC,>37,MALE,15,15,1600000.0
2020-01,Current,HCMC,unknown,FEMALE,23,23,2700000.0
2020-01,Current,HCMC,unknown,MALE,19,19,3930000.0
2020-01,Current,HN,18_to_22,FEMALE,15,15,810000.0
2020-01,Current,HN,18_to_22,MALE,10,10,940000.0
2020-01,Current,HN,23_to_27,FEMALE,20,20,2330000.0
2020-01,Current,HN,23_to_27,MALE,20,20,3500000.0
2020-01,Current,HN,28_to_32,FEMALE,8,8,700000.0
2020-01,Current,HN,28_to_32,MALE,7,7,650000.0
2020-01,Current,HN,33_to_37,FEMALE,6,6,440000.0
2020-01,Current,HN,33_to_37,MALE,7,7,1500000.0
2020-01,Current,HN,>37,FEMALE,10,10,1080000.0
2020-01,Current,HN,>37,MALE,10,10,1600000.0
2020-01,Current,HN,unknown,FEMALE,14,14,1020000.0
2020-01,Current,HN,unknown,MALE,7,7,1100000.0
2020-01,Current,Other Cities,18_to_22,FEMALE,16,16,1440000.0
2020-01,Current,Other Cities,18_to_22,MALE,30,30,3510000.0
2020-01,Current,Other Cities,23_to_27,FEMALE,44,44,5850000.0
2020-01,Current,Other Cities,23_to_27,MALE,87,87,12220000.0
2020-01,Current,Other Cities,28_to_32,FEMALE,30,30,4260000.0
2020-01,Current,Other Cities,28_to_32,MALE,75,75,14250000.0
2020-01,Current,Other Cities,33_to_37,FEMALE,17,17,2410000.0
2020-01,Current,Other Cities,33_to_37,MALE,24,24,3400000.0
2020-01,Current,Other Cities,>37,FEMALE,7,7,1090000.0
2020-01,Current,Other Cities,>37,MALE,18,18,3730000.0
2020-01,Current,Other Cities,unknown,FEMALE,49,49,5900000.0
2020-01,Current,Other Cities,unknown,MALE,61,61,9000000.0
2020-01,New,HCMC,18_to_22,FEMALE,0,0,0.0
2020-01,New,HCMC,18_to_22,MALE,2,2,220000.0
2020-01,New,HCMC,23_to_27,FEMALE,5,5,860000.0
2020-01,New,HCMC,23_to_27,MALE,2,2,160000.0
2020-01,New,HCMC,28_to_32,FEMALE,2,2,120000.0
2020-01,New,HCMC,28_to_32,MALE,1,1,80000.0
2020-01,New,HCMC,33_to_37,FEMALE,1,1,600000.0
2020-01,New,HCMC,33_to_37,MALE,0,0,0.0
2020-01,New,HCMC,>37,FEMALE,0,0,0.0
2020-01,New,HCMC,>37,MALE,1,1,30000.0
2020-01,New,HCMC,unknown,FEMALE,1,1,60000.0
2020-01,New,HCMC,unknown,MALE,1,1,150000.0
2020-01,New,HN,18_to_22,FEMALE,2,2,60000.0
2020-01,New,HN,18_to_22,MALE,0,0,0.0
2020-01,New,HN,23_to_27,FEMALE,2,2,120000.0
2020-01,New,HN,23_to_27,MALE,0,0,0.0
2020-01,New,HN,28_to_32,FEMALE,0,0,0.0
2020-01,New,HN,28_to_32,MALE,3,3,480000.0
2020-01,New,HN,33_to_37,FEMALE,1,1,60000.0
2020-01,New,HN,33_to_37,MALE,0,0,0.0
2020-01,New,HN,>37,FEMALE,0,0,0.0
2020-01,New,HN,>37,MALE,1,1,40000.0
2020-01,New,HN,unknown,FEMALE,3,3,240000.0
2020-01,New,HN,unknown,MALE,2,2,60000.0
2020-01,New,Other Cities,18_to_22,FEMALE,0,0,0.0
2020-01,New,Other Cities,18_to_22,MALE,5,5,370000.0
2020-01,New,Other Cities,23_to_27,FEMALE,7,7,1200000.0
2020-01,New,Other Cities,23_to_27,MALE,6,6,320000.0
2020-01,New,Other Cities,28_to_32,FEMALE,2,2,260000.0
2020-01,New,Other Cities,28_to_32,MALE,8,8,1350000.0
2020-01,New,Other Cities,33_to_37,FEMALE,2,2,160000.0
2020-01,New,Other Cities,33_to_37,MALE,5,5,480000.0
2020-01,New,Other Cities,>37,FEMALE,1,1,20000.0
2020-01,New,Other Cities,>37,MALE,0,0,0.0
2020-01,New,Other Cities,unknown,FEMALE,11,11,750000.0
2020-01,New,Other Cities,unknown,MALE,8,8,1520000.0
2020-02,Current,HCMC,18_to_22,FEMALE,22,22,1490000.0
2020-02,Current,HCMC,18_to_22,MALE,26,26,1940000.0
2020-02,Current,HCMC,23_to_27,FEMALE,37,37,3300000.0
2020-02,Current,HCMC,23_to_27,MALE,55,55,6750000.0
2020-02,Current,HCMC,28_to_32,FEMALE,32,32,3660000.0
2020-02,Current,HCMC,28_to_32,MALE,54,54,9020000.0
2020-02,Current,HCMC,33_to_37,FEMALE,16,16,3030000.0
2020-02,Current,HCMC,33_to_37,MALE,29,29,4930000.0
2020-02,Current,HCMC,>37,FEMALE,4,4,1180000.0
2020-02,Current,HCMC,>37,MALE,21,22,4310000.0
2020-02,Current,HCMC,unknown,FEMALE,30,30,3300000.0
2020-02,Current,HCMC,unknown,MALE,19,19,2500000.0
2020-02,Current,HN,18_to_22,FEMALE,6,6,740000.0
2020-02,Current,HN,18_to_22,MALE,6,6,780000.0
2020-02,Current,HN,23_to_27,FEMALE,10,10,1030000.0
2020-02,Current,HN,23_to_27,MALE,14,14,1250000.0
2020-02,Current,HN,28_to_32,FEMALE,1,1,200000.0
2020-02,Current,HN,28_to_32,MALE,18,18,3600000.0
2020-02,Current,HN,33_to_37,FEMALE,7,7,520000.0
2020-02,Current,HN,33_to_37,MALE,9,9,1900000.0
2020-02,Current,HN,>37,FEMALE,4,4,1400000.0
2020-02,Current,HN,>37,MALE,6,6,1020000.0
2020-02,Current,HN,unknown,FEMALE,9,9,2420000.0
2020-02,Current,HN,unknown,MALE,7,7,1070000.0
2020-02,Current,Other Cities,18_to_22,FEMALE,28,28,2860000.0
2020-02,Current,Other Cities,18_to_22,MALE,22,22,1940000.0
2020-02,Current,Other Cities,23_to_27,FEMALE,46,46,5490000.0
2020-02,Current,Other Cities,23_to_27,MALE,78,78,16490000.0
2020-02,Current,Other Cities,28_to_32,FEMALE,34,35,4590000.0
2020-02,Current,Other Cities,28_to_32,MALE,86,87,12750000.0
2020-02,Current,Other Cities,33_to_37,FEMALE,17,17,2210000.0
2020-02,Current,Other Cities,33_to_37,MALE,25,25,4110000.0
2020-02,Current,Other Cities,>37,FEMALE,9,9,1220000.0
2020-02,Current,Other Cities,>37,MALE,20,20,5980000.0
